class,tweet
0,"rt [MENTION]: ugh, white trash. [URL]"
0,these bitches need to get out of bed and ill make them cheeseburgers (: [HASH]
0,[MENTION] just be a hoe then
0,[MENTION] dp = double penetration aka a dick in the ass and a dick in the pussy at the same damn time.
0,rt [MENTION]: social network got bitches heads like [EMOJI] [URL]
0,"difference between ""niggers"" and ""niggas"". [HASH] my og [EMOJI] [URL]"
0,[MENTION] [MENTION] nice ears bitch you look like a god damn elephant..
0,im happy i aint that bitch i use to be
0,"rt [MENTION]: bruuuuuuh [EMOJI][EMOJI][EMOJI][EMOJI][EMOJI][EMOJI][EMOJI][EMOJI] “[MENTION]: kobe, last night yelling at dwight howard: ""you a bitch ass n*****""? [URL]"
0,rt [MENTION]: where is d hoes ? [EMOJI]
0,rt [MENTION]: so tired of yall hoes giving a shout out to yall moma talking bout she aint raise no hoe [EMOJI][EMOJI][EMOJI]
0,carl try eat the pussy but that big ass nose be fucking shit up
0,rt [MENTION]: vonte not tweeting like a bitch finally
0,you bitches all got that one friend who wear the same fit to every other function and it dont even be that clean[EMOJI]
0,rt [MENTION]: bust dat pussy wide open
0,being a sober soul just wasnt interesting.. bitch im living [HASH] [HASH] [URL]
0,"i hate when i see a thick bitch on instagram, then she show up looking like a teddy graham."
0,rt [MENTION]: too many bitches strictly rely on their looks. cant bring nothing to the table but 100 likes and an iphone [EMOJI][EMOJI]
0,[MENTION] thats a win right there. any nigga who doesnt partake in that is a faggot. even if they dont smoke.
0,i woke up in a bed full of bitches that i aint even fuckin
0,"""[MENTION]: ugly bitches be like im my own wcw duh bitch you aint nobody elses[EMOJI][EMOJI]"""
0,"rt [MENTION]: whos gassin these hoes, bp? [EMOJI]"
1,i didnt forsake all other bitches for my wife to be getting fucked on by another nigga. and you know she married? you gotta die.
0,"rt [MENTION]: i could never mess around with someone elses man, like thats just clarifying your self as a side hoe."
0,"""have you seen my shows? have you seen my hoes? if i wasnt hot would they be so thick?"""
0,"rt [MENTION]: lmfaoooooooooooooooo rt [MENTION]: put that muthafuckin jelly on that bread, bitch spread it [URL]"
0,what to do when your ear hurts like a bitch?
0,i bent yo bitch over thats why you mad these niggas broke thats why i laugh
0,"rt [MENTION]: eat her pussy when she mad, sad, stressed, mad at you, or whatever shit just lay her down and eat her pussy up [EMOJI][EMOJI][EMOJI]"
0,[MENTION] im tired of dat bitch mannn[EMOJI][EMOJI][EMOJI]
0,[MENTION] i just saw a bad bitch on here from mf switzerland and feel in love
0,[MENTION] lets go right now bitch and i knocked you last time lets fight right now
0,"rt [MENTION]: nov 22,2012: thanksgiving dinner: 2:00pm: proof on main. a day being preoccupied with a giant bird in your... [URL] ..."
0,put a bītch pussy on first 48
0,rt [MENTION]: do i have time for these hoes ?   no no no  no no  no \_ no  no no  …
0,[MENTION] all the helmets in destiny are trash. i wish i could just rock an invisible bubble instead. hunters look like robocop.
0,rt [MENTION]: the easy way out rt [MENTION] while you females calling them hoes asking if they want ketchup with they fries. [URL]
0,bitches will be bitches.
0,pussy aint shit but a product you either gonna get onna muscle or you gotta pay
1,roman catholics in the us are trash. they give catholics in europe a bad name.
0,"rt [MENTION]: when a bitch say ""i love you"" hit her wit the reverse psychology & say ""do you?"" it work 70% of the time cuh the other 30% g…"
0,two years strong with this honkie [EMOJI][EMOJI] [MENTION] [URL]
0,not fun [MENTION] when you have braxton hicks and cramps regularly from moving around. you try it!
0,rt [MENTION]: the nerve of these bitches in champaign
0,[MENTION] im so sick of self serving politicians standing by while bo trashes america. [HASH] [HASH]
0,rt [MENTION]: bitch what ocean is this?? [URL]
0,"“[MENTION] them jew lawyers and doctors say ""nigga"" ran? lol”nope they say shit like queer though"
0,rt [MENTION]: you hoes are lost.
0,fuck you bitch i have to fucking piss i take 30 seconds you take 5 fucking minutes [EMOJI][EMOJI][EMOJI][EMOJI]
0,"member when bitches put ""le"" in front of everything. you not foreign mf [EMOJI]"
0,karma is a bitch so baby you will get yours
0,[MENTION] says the pedophile promoting dolt. lmao [HASH]
0,"[MENTION] oh hell no! fuck you uncle tom bitch, i remember yo punk broke ass"
0,[MENTION] my boots get me bitches so
1,"celtic means white trash. if someone says theyre celtic, it means theyre white trash."
0,[MENTION] i didnt know you was following me hoe [EMOJI]
0,rt [MENTION]: dont tell your side bitch your family business thats none of their business.
0,rt [MENTION]: “[MENTION]: i need me a bitch that can dance [URL] lmfao this is ode
0,you know what fuck that bitch and you didnt react? girl its me and you
1,niggas aint playin a gram of defense man george need to tell these bitch ass niggas man up
0,when bae dodges hoes cause he only want you [EMOJI][EMOJI]  [EMOJI][EMOJI] [URL]
0,pass them sticks bitch!!!!!!!
0,caleb needs to stop being a little bitch.
0,luke bryan is such a faggot tool
0,my bitch bre been ina good mood they freed her young hogg [EMOJI]
0,"goku, shutting down hoes since 1984 [URL]"
0,gotta smile dat drive bad bitches crazy
0,rt [MENTION]: today [MENTION] did my hair and makeup.. he always tries to make me look like a monkey. [URL]
0,im so excited to hang out with my bitches [MENTION] [MENTION]
0,trailor trash tina time [EMOJI]
0,[MENTION] you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood
0,"[MENTION] [MENTION] ""dear daily mail, you misogynist pile of twats!"" [URL]"
0,your bitch want to fuck the squad [EMOJI][EMOJI]
0,gonna get a tattoo of a teardrop on my dick cause i murdered that pussy
0,"dont know no ugly bitches, dont know no broke niggas. dont know no snitch niggas"
0,[MENTION] honestly fuck whoever agreed with this bitch ass nigga your never going to get to tupac level
0,rt [MENTION]: “[MENTION]: when mr. krabs sold spongebob out for 62 cents thats when i knew hoes ain’t loyal”realist shit ive seen[EMOJI]
0,im our here filling these hoes jaw side
0,"[MENTION] bitch. what i like pussy go away u doing to much talking too much, i talk with my fist and u can get and yo dad little fuc"
0,my niccas was too real fa these streets [HASH] ike [HASH] nwax [URL]
0,"rt [MENTION]: share your feelings but if iss some hoe shit, keep it to yourself."
0,rt [MENTION]: this bitch got the itunes terms and conditions tattooed on her [URL]
0,"rt [MENTION]: ""you put my number on blocklist? how can i stop this??? convert them mfs. ill make all them hoes topless."" [EMOJI][EMOJI]"
0,"""[MENTION]: peel up peel up bring it back up rewind back where im from they move shaq from the line"" ooooow who tf said that trash!!?"
0,did he say the tastiest cuts or cunts??
0,[MENTION] you should check it out... it aint animated and has charlie murphy in it
0,i really want a sports star to get a pet monkey and name him achilles.
0,fed ex some real hoe boys
0,"rt [MENTION]: [HASH] rt [MENTION]: uh..not rape her, bitch nigga? rt [MENTION]: you see her passed out drunk, what do you do? ht…"
0,[MENTION] [MENTION] stfu bitch
0,honkey ass bitch tryna tell me shit.
0,yandy gotta pay me for dick im sorry...that bitch ugly
0,its a brand new day and the birds they chirpin
0,beat ya bitch pussy up every time i see her like a bully .. then send her outta town wit 4 cookies
0,[MENTION] [MENTION] [MENTION] [MENTION] lmfaoooo thats some fag shit man.
0,[MENTION] amen little mama. y does this old southern country bitch like you so much i dont know. but i do!
0,rt [MENTION]: my self esteem has two levels:  • im a worthless piece of shit who deserves no love    • bow down before me bitches i am you…
0,the two ringless fags rt [MENTION]: barkley & reggie were talking nonsense the entire game
0,“[MENTION] thats my fav part on take care”whole album trash
0,rt [MENTION]: im having a date at yankee field then getting kiss cam.. [HASH]
0,"rt [MENTION]: can you call someone a racist, then call them ""white bitch"" in the same sentence without losing credibility? [MENTION]…"
0,[MENTION] youre such a pussy
0,"no pillz jus weed kill dat pussy all night, damn right show u right"
0,"rt [MENTION]: i want to lick one lucky, healthy, & clean womans pussy tonight to totally change her life & views about men forever!"
0,rt [MENTION]: she used her hair to throw her then kicked her in the head then called her a bitch [EMOJI][EMOJI] [URL]
1,i aint been to the fair since i was like 8 and i havent wanted to go since then either for some reason. too many niggers for me
1,"rt [MENTION]: no, you stupid redneck, ""animal husbandry"" does not mean you can get hitched to your blue tick hound, misty."
0,"[HASH],[HASH],[HASH],[HASH],[HASH],[HASH], | [HASH] | blonde tranny ass fucked [URL]"
0,moreno be a little bitch. you dumb bitch.
0,(u-turns on yellow) ¡no aceptar este luz rojo! (♫ lights taking too long make me bilingual ♫)
0,[MENTION] and the yankees gave you a win. :) happy birthday!!
0,that bitch could sit on my face.
0,90% of niggas goofy and act like bitches
1,rt [MENTION]: [MENTION] youre not safe pussy boy looooool [URL]
0,rt [MENTION]: [MENTION] grab me some bitches while u up there lmao oh and a belt ( fendi )
0,rt [MENTION]: the ghetto if ud wins tonight: [URL]
0,walk in the party boot up yo hoe
0,“[MENTION]: what will the lakers be after kobe” trash
0,[MENTION] bitch we shot a music video
0,rt [MENTION]: life to short to be walkin round mad at bitches
0,[MENTION] up your ass you little twat*
0,[MENTION] [MENTION] bitch fuck that blog where u be at meet up and get your round
0,drink up bitches
0,"rt!!""[MENTION]: you pussy whipped for only following [MENTION] tho.... [MENTION]"""
0,“[MENTION]: i just punched [MENTION] in the nose on accident because she just shocked the crap out of me [EMOJI][EMOJI][EMOJI][EMOJI]” bitch that hurt!! [EMOJI]
0,[MENTION] ms. martinez fuckin with the cripple kid?!
0,rt [MENTION]: your sole purpose is to make money. otherwise youd suggest violence prevention policies that actually work. [MENTION]
0,what that bitch tryna say
0,[MENTION] thats what i call a crash dummy hoe
1,[MENTION] [MENTION] you have a redneck attitude. the same people that think benghazzi is real think fox fake nws is real. your one
0,[MENTION] no bitch lol im not about that life anymore
0,i hate a trash bad bitch
1,[MENTION] [MENTION] faggot
0,rt [MENTION]: side bitch or main bitch you still aint the only bitch. [EMOJI][EMOJI][EMOJI]
0,bout to bust this bitch wide open. such a waste of money!
0,"""my twitter was hacked"" = im too pussy to admit that i said it and now i want to act like i never said it."
0,[MENTION] u call ur bestie a bitch im guessing shes a dog that barks too much
0,rt [MENTION]: this bitch eyebrows lookin like the bulls logo [URL]
0,niggaz been making trash lately. well not everybody but some lol
0,[MENTION] bitch where u be fuck nigga
0,i curved yo bitch. your welcome.
0,"if you got charge a nigga up for tryna talk to your chick, you really a insecure faggot and have no control over her.."
0,you should have to be over 6 foot and 220 lbs to buy a truck. we know most of you get em cause youre scrawny country pussies.
0,"these bitches both average. lmao @ ""baddie"" “[MENTION]: pretty girls be like [EMOJI][URL]"
0,“[MENTION]: in a relationship with the idea of you” - girls with trash love lives
0,"rt [MENTION]: dani alves uses his new gray hair to talk himself out of a yellow card, telling the referee, ""i am but a humble senior …"
0,[MENTION] yall niccas bout to blow fool!! lol cant wait for the world to see this detroit shit nicca!
0,[MENTION] wow what a faggot
0,[MENTION] [MENTION] i think i did my job here! toodles to you bitches [EMOJI]
0,[MENTION] would help for some others cant handle uppers and cripples them plus if moderation isnt taken into consideration itll be bad
0,ill have these bitches havin babys every week
0,officials: jihadi cockroaches now booking tickets on cruise ships to syria [URL] [URL]
1,"michael sam being cut further proves that we fags dont belong in football or [HASH], it is a heterosexual sport for heterosexuals."
0,"""[MENTION]: “[MENTION]: i love eating pussy lol i never get full lol” i can eat that shit forever lol"" and ever."
0,"everytime i clean the room my mom tells me ""what bitch is coming over this time"" lmao what a dick !!"
0,i swear to god i be in the middle of the club making out wit bitches like im tryna film a romantic comedy or somethin
0,"rt [MENTION]: people who r mentally stable know when to beat their kids & when to talk to them. clubs hoes & ""stop by dads"" should n…"
0,"like literally after im done texting someone when i dont text back i slide the bitch to the left , id win that money"
0,rt [MENTION]: whoever called it the lowest common denominator and not stupid pussy number was probably more mature than me and definitely…
0,"im not particularly shy, but hard for me to break ice with a stranger or in others words im a pussy [EMOJI] haha she was so cute too!"
0,i bet if we took a twitter cencus itd be at least 35% basic ass bitches
0,and my mom was really getting me a car smh hoe f u for dat
0,niggas talk more then bitches these days
0,rt [MENTION]: ian worried bout a bitch who aint worried bout me [EMOJI][EMOJI]
0,"rt [MENTION]: attractive girls are always the most insecure... [EMOJI]  while these shrek looking bitches, walk around thinking their the shit [EMOJI]"
0,rt [MENTION]: when you eat the pussy so good she cant control her moans [EMOJI][EMOJI][EMOJI] [URL]
0,fuck that hoe!
0,"rt [MENTION]: rockin, rollin, swaggin to the max my bitch a fashion killa, she be busy poppin tags[EMOJI]"
0,lying bitch [URL]
0,rt [MENTION]: [MENTION] happy birthday! take a spin in that yellow coupe... [HASH] [URL]
0,my nudes are trash.....
0,its funny when u get a black female mad they start acting ghetto then a bitch
0,“[MENTION]: shine on them hoes [URL] look at my baby daddy
1,[MENTION] [MENTION] [MENTION] [MENTION] mean bro fucking faggot
0,photo: seriously … all my friends are hoes. it’s so funny. [HASH] [EMOJI] [URL]
0,nigga tyrese on walking dead is a bitch smh
0,[MENTION] [MENTION] then bring yo bitch ass to town east mall let me know when u there bitch!
0,rt [MENTION]: panera with my bottom bitch [MENTION]
0,“[MENTION]: the kimberley story is by far the scariest story ive ever heard! [EMOJI]” pussy
0,i eats the pussy.
0,rt [MENTION]: i havent had cable at my crib in a year i dont give a damn bout a tv show like hoes n hip hop
0,bond had the hoes and the money bourne kicked ass no gadgets hawk always let a bitch die
0,what state got the best pussy? [EMOJI]
0,"“[MENTION]: gwyneth paltrow you ugly ass big bird looking bitch, shut the fuck up.” <<thats pretty much in your face! bravo!"
0,dez is caked up with some bitch or something cause hes not playing like dez bryant
0,[MENTION] [MENTION] pussies
0,"[MENTION] [HASH] amos 3:3 can two walk together, unless they are agreed? [HASH]"
1,"rt [MENTION]: we muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children [URL]"
0,you will never get a [EMOJI][EMOJI] if you dont know how to cook [EMOJI][EMOJI][EMOJI][EMOJI][EMOJI][EMOJI] for ya man fr atleast not from a nigga like me. slackin ass bitches
0,rt [MENTION]: these hoes aint loyal [URL]
0,watch: excited isis jihadis getting their yezidi sex slaves on distribution day [URL] [HASH] [HASH] [HASH] [HASH] [HASH]
0,"[MENTION] id sell anything if people are willing to buy it, how highly do prostitutes think of their pussy to sell that"
0,i jus wanna watch this last episode of orange is the new black but netflix jus wants to be a bitch [EMOJI]
0,bitches aint shit but hoes an tricks
0,niggas fall in love with an evil bitch and turn they back on they friends..... its cool tho.
0,rt [MENTION]: [EMOJI][EMOJI]my mama told me if a bitch feet dirty her pussy dirty cause ya feet the first thing that hit the water when you bathe.
0,"not just exist, but contribute. and contribute to things they themselves enjoy. that often its a queer person behind those products."
0,[HASH] hunter pence is so annoying he should be a red sox player. shave fool and take your vyvanse[EMOJI][EMOJI][EMOJI][EMOJI][HASH] 2015!!
1,"rt [MENTION]: how you real, dont put no money on you nigga books? but chu buy a bitch chanel just to hit the puss!"
0,"[MENTION] ha! im actually going to see a yankee game, as weird as it sounds. my uncles house in nj is an hour away."
0,like a bitch wit no ass u aint shit
0,rt [MENTION]: so apparently [MENTION] likes takin pictures when hes eatin pussy[EMOJI][EMOJI]
0,[MENTION] oh no no no. youre perpetually in the 15%.   your hairy pussy tho.... different story.
0,"[MENTION] this, this, this. pack it up and head to nyc, please. enjoy being called a hick for a few years, come home humbled. [HASH]"
0,rt [MENTION]: girls with six packs are scary..... just have a flat stomach thats hot enough.... ripped bitches are scary looking.
0,★ best asian massage on the park slope --top rated spa ★ 718-622-0221 - 24 [URL]
0,[MENTION] nope! btw yous a hoe lol
0,rt [MENTION]: [MENTION] pussy.
0,"if you must call me a cracker, please call me a cheez-it, not a saltine."
0,rt [MENTION]: when you know you dealing with hoe [EMOJI]
0,follow me back bitch.
0,about to go watch dis bitch birth the devil [HASH] [MENTION]
0,[MENTION] [MENTION] if u zoom in you can see his hairy nipples
0,[HASH] nah we not gonna sit down we gonna walk it out bitch.
0,rt [MENTION]: kim k lil sisters some hoes
1,[MENTION] [MENTION] niggers*
0,"yeah, im so annoying until you need something...bitch [HASH] i dont play that shit, fuck with my heart and ill make you wish"
0,u see a super bad bitch in the club with a nigga that u just cant understand how he got her 99% chance he meet her at [HASH]
0,"rt [MENTION]: lol rt [MENTION] nigga like ""damn why would this bitch do this ? "" i helped your family move and the dryer almost fell…"
0,"rt [MENTION]: if a bitch tweeting about a nigga and he saying he dont mess with her , hes lying[EMOJI] that bitch aint tweeting for nothing [EMOJI]"
0,"i be waiting for a bitch to sneak diss , im @-ing idc [EMOJI][EMOJI]"
0,[MENTION] my phone was dead fag man
0,[MENTION] im always a call away if ya need me nigs
0,"i, i see some hoes in hurrrr"
0,rt [MENTION]: [HASH] are the first to congratulate this years hoes for being smarter than last years hoes. you know who you are.
0,"i shoot at the pussy, i bust in the pussy im cuming too sooooooooooon"
0,son of a bitch [HASH]
0,rt [MENTION]: humans are genetically closer to chimps than chimps are to gorillas. but we are all apes. have a great day you clever twe…
0,[MENTION] prolly not. they sound like little bitches.
0,dumb cunt
0,rt [MENTION]: little bitch
0,irie is a bitch for not letting me borrow his charger.
0,"baby ill whisper vietnamese to you all soft like, ""ching... chong ting o long...."""
0,"rt [MENTION]: ford. f-o-r-d, just a fancy name for a fag mobile"
0,[EMOJI][EMOJI][EMOJI]- lmao my nigga . lets go half on a weed brownie [EMOJI] we will be laughing hard as hell in senior seminar
0,we dont pay hoes... we dont save hoes
0,"so i seen this sweater , its flashy. i wanna get it. i gotta get it. it say ""my boyfriend is my bitch, with some puppies"" [EMOJI][EMOJI][EMOJI]"
0,i b tryna remind these bitches ... i knew u b4 dis social network fame
0,rt [MENTION]: every time you sleep with two women in a day it proves this country has a problem educating bitches about their self w…
0,"[MENTION] [EMOJI] who did you rob, them hoes like 4 online"
0,[MENTION] who is this we..? i dont love hoes
1,[MENTION] wow u hoe is the term for women
0,"""[MENTION]: [URL] oh yeah fuck that bitch"
1,[MENTION] [MENTION] you both sure do you want to give a free pass to every border jumper in this country you two are whats wrong here
0,*puts people/bitch face on*
0,news flash: obama won the election and increase their numbers in congress. stop with the bullshit already and compromise bitches!
0,[MENTION] [MENTION] yall playful dont come dumb hoes
0,rt [MENTION]: me: goodnight moon   moon: goodnight lil bitch
0,rt [MENTION]: listen here “[MENTION]: bitches cheat on they bitch... but be soooooo hurt when they bitch cheat back.”
0,free love & sexual liberation seemed to be the dawn of lots of consequence free pussy for them 60s negroes. why we always forgetting history
0,rt [MENTION]: [MENTION] [URL] fag
0,[MENTION] im askin you negro lol
0,bad bitches every where
0,all okies are trash.
0,"cuh, this is our scrum[EMOJI] [HASH] [HASH] [HASH] were finna smash some bitches[EMOJI][EMOJI] [HASH] [URL]"
0,gimme another beer bitch!
0,young bitches talk about their new man allll day....as if anyone is really intrested in that shit lol
0,my pussy taste like pepsi cola.
0,"[MENTION] pitch, chip and slide ur dick in tight clam [HASH] love it [HASH]"
0,damn the bad thing about having side hoes is you cant get mad when they dont hit you up all day [EMOJI][EMOJI][EMOJI]
1,"[MENTION] huh, lol mad nigger is mad"
0,rt [MENTION]: bitches hate kim k & bring up she sucked dick too get famous . yall bitches suck dick & barley get a text back soooooo …
0,phone drier than yo bitch scalp [EMOJI]
0,[MENTION] youre wearing my sweatshirt in your snapchat story hoe! love you tho lol
0,[HASH] ...sure. celebrate over 1 billion bird deaths and blame it on [HASH] you fuckin [HASH].
0,[HASH] all the bad bitches [EMOJI][EMOJI]
0,if your twitter is private but your instagram is public u r probs a trash talking thot
0,“[MENTION]: always tryna degrade girls&shit [EMOJI] when really..pussy&ass is almost all yall think about so shuuutt iittt .” sometimes
0,you want thingamabobs? i got twenty bitch
0,"""[MENTION]: nd wtf is up with dark bitches with blonde.. please have several seats hoe!"" ..looking like black&milds out here"
0,this. good. [HASH] [HASH] [URL]
0,[MENTION] [MENTION] sorry dyslexia is a bitch
0,rt [MENTION]: [MENTION] yea that hoe was rocking friday and last night
0,[MENTION] nah gurl this pussy private [EMOJI]
0,all my young boys round me sayin get money and fuck these hoes
0,[MENTION] also nack which autocorrect changed so im putting my phone in the trash and going to sleep
0,[MENTION] i love louis ck! quit bein a faggot and suck that dick
1,i like how niggas try an come at me and im like do it then bitch and they dont do shit. pussies
0,"[MENTION] neil, have you heard that scientists have discovered that, in fact, bitches do be trippin?"
0,[MENTION] i think u need a massage or a pussy in your mouth to make u feel less stressed out dont u think?
0,"that hoe out there, fat trel said it best."
0,most niggas send hate thru the bitches
0,elizabeth is a stupid hoe
0,rt [MENTION]: twitter should dump the little blue bird mascot and just officially change it to a set of boobs.
0,curly girls is where its at and you bitches need to get with it
0,rt [MENTION]: bae: if i win you dont get no pussy tonight   me: shiiiiiit... [EMOJI][EMOJI] [URL]
0,rt [MENTION]: all my bitches attractive
0,rt [MENTION]: [MENTION] called charlie baker to concede around 8:15 this morning. she plans to address supporters at 11am. [HASH]
0,fucking trash [MENTION]
0,[MENTION] lucky bitch![EMOJI]
0,[EMOJI] rt [MENTION]: [EMOJI][EMOJI][EMOJI] these hoes selfish
0,rt [MENTION]: you shouldnt bitch about anything until youre in a 21 person group chat
0,[MENTION] if we finna hoop inside or out fucking retard thats what im saying let me know allergic reaction lip ass nigga
0,"""i hope you dont get mad, ladies. i only call you bitches bitches bc i dont know your names individually."" -katt williams [MENTION]"
0,"thats a deal breaker, yo pussy shouldnt smell like my sweaty hooping shorts"
0,this bitch got zero kills and yet got a legendary enngram?!!!! what the absolute fuck?!!!!!
0,[MENTION] nigga madison playing some bitch ass white boys thats going to harvard on law scholarship play crazy
0,"rt [MENTION]: lmaooooooo rt [MENTION]: ""ayo take this pic for me fam""  ""you think the bitches gon fuck with this pic?"" [URL]"
0,rt [MENTION]: rt [MENTION]: come somebody please get me a ps4? willing to eat pussy for it if need be.
0,rt [MENTION]: bitches would cheat on a nigga that give her everything she ask for and be loyal to shawty smh bitches aint shit
0,[MENTION] trash
0,[MENTION] try me bitch boy
0,rt [MENTION]: full [MENTION] set (except the last song) from southern darkness fest last month. whos the ape on guitar? [URL]
0,"[MENTION] [MENTION] big birds, big peckers.... they always mad cause they only get laid once and thats by their mother."
0,niggas are jus like btchs talking bout a hoe then right back in her face dnt come to me talking bout nan hoe if you gne b right back fwher[EMOJI]
0,"rt [MENTION]: just cause somebody put ""bad"" in front of it yall okay with being called a bitch"
0,used the dollar menu & spectate at the mall. but now im buying that bitch out cause shit i want it all ....
0,"""[MENTION]: why do my friends hate me"" because you a ratchet hoe.."
0,[MENTION] lmao yesterday ? them hoes was cute af lol
0,i was told never fold & never sell my sole
0,i know you seeeeen my faceeeee gon send a bitch maa wayyyy
0,[MENTION] exactly dem gold diggin hoes came out da woods on my ass
0,all of a sudden craving the hell out of [MENTION] cookies.
0,[MENTION] death to attention hoes
0,rt [MENTION]: errday i take chances real street nigga shit take chances by fuckin wit u nothin ass hoes sumtime lol...[HASH]
0,rt [MENTION]: naming my son caesar. dawn of the apes is the absolute best movie ive ever seen in my entire life.
0,"rt [MENTION]: just swing ""[MENTION]: ""thats why i fucked yo bitch."" i mean...what can you say back to that?"""
0,bad bitches in dirty ass houses <<<
0,"[HASH] aint fuckin around with [HASH] [HASH] [HASH]> i got blessed by jesus and you are not next, you fake ass text>"
0,[HASH] browngal [HASH] [HASH] [HASH] [URL]
0,is it weird licking your own nip?
0,come get this catfish pussy
0,rt [MENTION]: [MENTION] [MENTION] [MENTION] this faggot is a lil attention whore fuck him [HASH]
0,[MENTION] bitch who is you?
0,"""[MENTION]: ya nigs out there still saying yall dont eat butt?!"" with a straight face!"
0,[MENTION] you tryna say im a pussy? of course im tryna slam. i aint no pussy duuuuuuu
